Unnamed: 0,Date,Gross Purchase FII,Gross Sales FII,Net Purchase FII,Gross Purchase DII,Gross Sales DII,Net Purchase DII,Net Net,# Net Net,Change,Change%
115,17-Sep-2024,13095.19,12612.5,482.69,10959.98,10085.83,874.15,1356.84,-880.89,2237.73,-254.03058270612675
116,16-Sep-2024,8617.1,10252.08,-1634.98,10025.07,9270.98,754.09,-880.89,4897.0,-5777.89,-117.9883602205432
117,13-Sep-2024,15982.99,13618.17,2364.82,11156.43,8624.25,2532.18,4897.0,5894.46,-997.46,-16.921991157799017
118,12-Sep-2024,23301.02,15606.02,7695.0,13690.6,15491.14,-1800.54,5894.46,1985.9,3908.56,196.8155496248552
119,11-Sep-2024,15414.6,13659.6,1755.0,11401.9,11171.0,230.9,1985.9,1932.8600000000001,53.039999999999964,2.74412011216539
120,10-Sep-2024,16771.58,14563.35,2208.23,12153.63,12429.0,-275.37,1932.8600000000001,-880.89,2813.75,-319.42126712756414
121,09-Sep-2024,8617.1,10252.08,-1634.98,10025.07,9270.98,754.09,-880.89,1500.5800000000002,-2381.4700000000003,-158.70330139012916
122,06-Sep-2024,16911.35,17532.3,-620.95,15699.2,13577.67,2121.53,1500.5800000000002,2282.0499999999997,-781.4699999999996,-34.2442102495563
123,05-Sep-2024,17446.87,18135.56,-688.69,14803.18,11832.44,2970.74,2282.0499999999997,1072.81,1209.2399999999998,112.71707012425311
124,04-Sep-2024,16585.13,15609.67,975.46,13583.92,13486.57,97.35,1072.81,2925.46,-1852.65,-63.328502184271876
125,03-Sep-2024,19444.04,18414.79,1029.25,11867.28,9971.07,1896.21,2925.46,2091.83,833.6300000000001,39.851708790867335
126,02-Sep-2024,13772.63,12037.17,1735.46,12538.52,12182.15,356.37,2091.83,,,
